"","gene","p","fdr"
"GCDH","GCDH",1,1
"ADARB1","ADARB1",1,1
"CLDN11","CLDN11",1,1
"FGF10","FGF10",1,1
"SPDYE1","SPDYE1",1,1
"DLX6","DLX6",1,1
"EIF2S3","EIF2S3",1,1
"EHD1","EHD1",1,1
"STON2","STON2",1,1
"SNURF","SNURF",1,1
"PRR14","PRR14",1,1
"PIGW","PIGW",1,1
"CSRNP3","CSRNP3",1,1
"DYNC1I2","DYNC1I2",1,1
"CLINT1","CLINT1",1,1
"FNIP1","FNIP1",0.040934959722854,0.266586124484676
"MYCT1","MYCT1",1,1
"ICK","ICK",1,1
"PSMA5","PSMA5",1,1
"PEAR1","PEAR1",1,1
"UAP1","UAP1",1,1
"NECAP2","NECAP2",1,1
"IGSF9B","IGSF9B",1,1
"NUP88","NUP88",1,1
"ZSWIM3","ZSWIM3",1,1
"EPHA6","EPHA6",0.0273902771705534,0.212330448985698
"METTL14","METTL14",1,1
"ZNF169","ZNF169",1,1
"DDX26B","DDX26B",1,1
"PI4KB","PI4KB",1,1
"CSTF2T","CSTF2T",1,1
"GATA3","GATA3",0.00307621459533787,0.0828637825515804
"WDR24","WDR24",1,1
"AXL","AXL",1,1
"WDR75","WDR75",1,1
"AURKA","AURKA",0.040540539956125,0.265446858965424
"IMPDH1","IMPDH1",1,1
"OSBPL3","OSBPL3",0.0148619963264328,0.153673965120677
"ZFP37","ZFP37",1,1
"RGS5","RGS5",0.0087754061693674,0.121422795932808
"TMEM9B","TMEM9B",1,1
"WASF3","WASF3",1,1
"UNC45A","UNC45A",1,1
"VPS53","VPS53",1,1
"TPM3","TPM3",1,1
"SCYL3","SCYL3",1,1
"RABGAP1L","RABGAP1L",1,1
"DTL","DTL",0.0259152183296749,0.206558195948213
"MIXL1","MIXL1",1,1
"RBM17","RBM17",1,1
"EFCAB4B","EFCAB4B",1,1
"FRY","FRY",1,1
"DGKH","DGKH",1,1
"CPEB1","CPEB1",1,1
"TTLL13","TTLL13",1,1
"CRAMP1L","CRAMP1L",1,1
"PDILT","PDILT",1,1
"CENPT","CENPT",0.00148637153325721,0.0614766959003711
"FHL2","FHL2",0.00515881150595175,0.103149809314564
"IL1A","IL1A",1,1
"ANKAR","ANKAR",1,1
"ADCY3","ADCY3",1,1
"PSME4","PSME4",1,1
"TOP1","TOP1",1,1
"TRMT6","TRMT6",0.00374518597089909,0.0886592768031163
"PRKAR2A","PRKAR2A",1,1
"CLDND1","CLDND1",1,1
"ADH6","ADH6",1,1
"MTTP","MTTP",1,1
"MMRN1","MMRN1",1,1
"EGR1","EGR1",0.0253567528045292,0.204052633987568
"PCDHGA4","PCDHGA4",1,1
"MICALL2","MICALL2",1,1
"PPP2CB","PPP2CB",1,1
"ADAM32","ADAM32",1,1
"PRPF4","PRPF4",1,1
"STXBP1","STXBP1",1,1
"PFKFB1","PFKFB1",1,1
"ENAH","ENAH",1,1
"RPS6KA4","RPS6KA4",1,1
"ZNF214","ZNF214",1,1
"WNT10B","WNT10B",1,1
"ING1","ING1",0.0130389325819784,0.147060020997884
"TIPIN","TIPIN",1,1
"CCP110","CCP110",1,1
"TNRC6A","TNRC6A",1,1
"OSBPL1A","OSBPL1A",1,1
"DKKL1","DKKL1",1,1
"UGT1A10","UGT1A10",1,1
"PUS10","PUS10",1,1
"NSUN3","NSUN3",1,1
"ADRA1A","ADRA1A",1,1
"WNK2","WNK2",1,1
"USP47","USP47",0.0464094418536601,0.288015352566191
"PRKD1","PRKD1",1,1
"TSR3","TSR3",1,1
"PDXDC1","PDXDC1",1,1
"PSMD7","PSMD7",1,1
"ZNF582","ZNF582",1,1
"PDRG1","PDRG1",1,1
"ZNF330","ZNF330",1,1
"TAPT1","TAPT1",1,1
"MAPK10","MAPK10",1,1
"TAF7","TAF7",1,1
"CDK19","CDK19",1,1
"OSR2","OSR2",1,1
"EFCAB3","EFCAB3",1,1
"SDCCAG3","SDCCAG3",1,1
"TRIM45","TRIM45",1,1
"RAB13","RAB13",1,1
"SEC24C","SEC24C",1,1
"WEE1","WEE1",1,1
"ARHGAP9","ARHGAP9",1,1
"UBE3A","UBE3A",1,1
"ELAC2","ELAC2",1,1
"RABL2A","RABL2A",1,1
"ARHGEF4","ARHGEF4",1,1
"WDFY1","WDFY1",1,1
"FHDC1","FHDC1",1,1
"MAOA","MAOA",1,1
"ARF1","ARF1",0.00586611048509861,0.107382398236499
"KRAS","KRAS",1,1
"RPGRIP1L","RPGRIP1L",1,1
"GIN1","GIN1",1,1
"SLC24A1","SLC24A1",1,1
"SH2D3A","SH2D3A",1,1
"ANKRD13D","ANKRD13D",1,1
"MMP14","MMP14",1,1
"GPR128","GPR128",1,1
"TGFBR2","TGFBR2",1,1
"PARD3","PARD3",4.82033293237759e-05,0.0114637846416794
"AASDHPPT","AASDHPPT",1,1
"STIM1","STIM1",0.00918857428451299,0.123859749312899
"FLT1","FLT1",1,1
"HOXD11","HOXD11",1,1
"BACH1","BACH1",1,1
"CNPY3","CNPY3",1,1
"CUL9","CUL9",1,1
"RPRD2","RPRD2",0.000695225355290444,0.041465420581988
"CALB2","CALB2",1,1
"TNNT1","TNNT1",1,1
"DNAJB3","DNAJB3",1,1
"FSHR","FSHR",1,1
"KNG1","KNG1",1,1
"SNRNP48","SNRNP48",1,1
"TAX1BP1","TAX1BP1",0.00146760067075528,0.0610797054159963
"AMOT","AMOT",1,1
"TFE3","TFE3",1,1
"WRAP73","WRAP73",1,1
"LARP6","LARP6",1,1
"LCAT","LCAT",1,1
"GOLPH3","GOLPH3",1,1
"GIMAP4","GIMAP4",1,1
"ZNF239","ZNF239",1,1
"SPTY2D1","SPTY2D1",1,1
"CDC42BPG","CDC42BPG",1,1
"FOXK1","FOXK1",0.0316876944858444,0.233158406167114
"NUMBL","NUMBL",1,1
"SLC2A3","SLC2A3",1,1
"WDR20","WDR20",1,1
"NEMF","NEMF",0.0191483790127711,0.177589214270255
"DPP8","DPP8",1,1
"CPNE2","CPNE2",1,1
"SEPT4","SEPT4",1,1
"TAF4B","TAF4B",1,1
"MED15","MED15",1,1
"TRDN","TRDN",1,1
"EPB49","EPB49",1,1
"RASAL2","RASAL2",1,1
"BRPF1","BRPF1",1,1
"SYTL4","SYTL4",1,1
"APC","APC",0.0133400994161942,0.147747130749657
"ARHGAP26","ARHGAP26",1,1
"TOMM40L","TOMM40L",1,1
"ABCD3","ABCD3",1,1
"TRPC6","TRPC6",1,1
"NUAK1","NUAK1",0.000330924731107806,0.0308694504931184
"CYLD","CYLD",1,1
"CBLC","CBLC",1,1
"VIT","VIT",1,1
"OSBP2","OSBP2",1,1
"NAA50","NAA50",1,1
"EEFSEC","EEFSEC",1,1
"ZNF654","ZNF654",1,1
"UBN2","UBN2",1,1
"AKNAD1","AKNAD1",0.00409472590869085,0.0914240713279332
"IVNS1ABP","IVNS1ABP",1,1
"PIK3R3","PIK3R3",0.0393329507050052,0.259121328289656
"PAX2","PAX2",1,1
"ARFGAP2","ARFGAP2",0.000521496265372786,0.0377723436925009
"P4HA3","P4HA3",1,1
"ANO4","ANO4",1,1
"ITGA5","ITGA5",0.00268081236206803,0.0796943282098705
"FGD6","FGD6",1,1
"SIX1","SIX1",1,1
"NOP10","NOP10",1,1
"SYT17","SYT17",1,1
"GTF3C1","GTF3C1",0.0229584111380491,0.190861497838038
"SLC7A6","SLC7A6",1,1
"ZNF830","ZNF830",1,1
"TEX101","TEX101",1,1
"PNPT1","PNPT1",1,1
"PIGZ","PIGZ",1,1
"VPRBP","VPRBP",1,1
"ZBTB49","ZBTB49",0.00336510296564732,0.0866869858490738
"MED7","MED7",1,1
"REV3L","REV3L",1,1
"MAD2L1BP","MAD2L1BP",1,1
"TES","TES",0.000913907257777518,0.0479189640121299
"RNF208","RNF208",1,1
"ABCB7","ABCB7",1,1
"DIAPH2","DIAPH2",0.0262213203466701,0.207872882853526
"VCL","VCL",1,1
"RRBP1","RRBP1",1,1
"PRKCD","PRKCD",0.00197238652113019,0.0709952532119238
"PIWIL4","PIWIL4",1,1
"ALX1","ALX1",1,1
"TCF4","TCF4",0.0326950902378515,0.235823611509547
"PLEK","PLEK",1,1
"AHCY","AHCY",1,1
"RALGAPB","RALGAPB",1,1
"CD72","CD72",1,1
"CROCC","CROCC",1,1
"PLK3","PLK3",1,1
"MRE11A","MRE11A",1,1
"SLC25A36","SLC25A36",1,1
"UTP3","UTP3",1,1
"NEGR1","NEGR1",1,1
"VRK1","VRK1",1,1
"CWC25","CWC25",1,1
"FOXK2","FOXK2",0.00460914431202564,0.0981929906435717
"ZNF429","ZNF429",0.0381068185320607,0.255632747185391
"TGM2","TGM2",0.0314135587159304,0.23191007482193
"ZNF623","ZNF623",1,1
"SENP1","SENP1",1,1
"TUBGCP3","TUBGCP3",1,1
"CCDC19","CCDC19",1,1
"ZC3H14","ZC3H14",1,1
"SEMA4D","SEMA4D",1,1
"GLRX3","GLRX3",1,1
"BRSK2","BRSK2",1,1
"CACNA2D4","CACNA2D4",1,1
"FBXW10","FBXW10",1,1
"ZNF541","ZNF541",1,1
"PLCD4","PLCD4",1,1
"NCAPH","NCAPH",0.00783725405446584,0.116352544373529
"PKDREJ","PKDREJ",1,1
"ATP2C1","ATP2C1",1,1
"FBLN2","FBLN2",1,1
"RUNX2","RUNX2",1,1
"CASP8AP2","CASP8AP2",1,1
"SPAM1","SPAM1",1,1
"PAXIP1","PAXIP1",1,1
"DOK2","DOK2",0.0140562115620381,0.15031699965884
"ADAM9","ADAM9",1,1
"PRKACG","PRKACG",1,1
"VSIG4","VSIG4",1,1
"CHUK","CHUK",1,1
"PDC","PDC",1,1
"ZNF814","ZNF814",1,1
"RALB","RALB",1,1
"NGF","NGF",0.0489612885846478,0.297747233502438
"LILRB2","LILRB2",0.00552117944081944,0.105952547251921
"MED27","MED27",1,1
"UGP2","UGP2",1,1
"NCOA5","NCOA5",1,1
"NCF4","NCF4",1,1
"ABI3BP","ABI3BP",1,1
"PDCD10","PDCD10",1,1
"TM4SF19","TM4SF19",1,1
"DAXX","DAXX",0.00151990346572041,0.0617024924547347
"TNPO3","TNPO3",1,1
"KLHL4","KLHL4",1,1
"DMRTA2","DMRTA2",0.00380574028808139,0.0886592768031163
"TRPV3","TRPV3",1,1
"ZBTB4","ZBTB4",1,1
"HEXB","HEXB",1,1
"AMPH","AMPH",0.0493676884431574,0.299398394665743
"EP400","EP400",1,1
"CRK","CRK",1,1
"FAM188B","FAM188B",1,1
"SNAPC4","SNAPC4",1,1
"ELF4","ELF4",1,1
"ZNF496","ZNF496",1,1
"IDE","IDE",1,1
"INHA","INHA",1,1
"SKIL","SKIL",1,1
"PLXNB1","PLXNB1",1,1
"LAP3","LAP3",1,1
"NFXL1","NFXL1",1,1
"XRRA1","XRRA1",0.0309800690621835,0.229984704442675
"EDNRB","EDNRB",1,1
"RPL10L","RPL10L",1,1
"RPS6KA5","RPS6KA5",0.00689655219015862,0.112283963408964
"NEDD4","NEDD4",1,1
"SLC8A1","SLC8A1",1,1
"POLR1A","POLR1A",1,1
"PHLDB2","PHLDB2",0.0232480738011767,0.192352791076477
"P2RY1","P2RY1",1,1
"ABCC5","ABCC5",1,1
"SHISA5","SHISA5",1,1
"CRYBG3","CRYBG3",1,1
"SH3RF1","SH3RF1",1,1
"CANX","CANX",0.0292821988818775,0.221934897555064
"PARP8","PARP8",1,1
"TEX10","TEX10",1,1
"ADCY10","ADCY10",1,1
"RCC2","RCC2",1,1
"FAIM3","FAIM3",1,1
"WLS","WLS",1,1
"PATL1","PATL1",1,1
"BTBD11","BTBD11",1,1
"METTL3","METTL3",1,1
"FANCM","FANCM",1,1
"RSL1D1","RSL1D1",1,1
"OTOA","OTOA",1,1
"FAM65A","FAM65A",1,1
"ZNF286A","ZNF286A",1,1
"TRAPPC8","TRAPPC8",1,1
"DNMT1","DNMT1",1,1
"BLVRB","BLVRB",1,1
"GRHL1","GRHL1",1,1
"SIRPA","SIRPA",1,1
"CST1","CST1",1,1
"APP","APP",1,1
"LIMK2","LIMK2",0.00321525663451418,0.0853003742200394
"NR1I2","NR1I2",1,1
"ALDH1L1","ALDH1L1",1,1
"ACOX2","ACOX2",1,1
"ARL13B","ARL13B",1,1
"FGG","FGG",1,1
"SULT1B1","SULT1B1",0.0106436111111776,0.132359607485603
"MARCH6","MARCH6",1,1
"HMGCS1","HMGCS1",1,1
"FAM172A","FAM172A",1,1
"L3MBTL3","L3MBTL3",1,1
"PDE7B","PDE7B",1,1
"RFX3","RFX3",1,1
"CDK10","CDK10",1,1
"ANKRD52","ANKRD52",0.00222832543204409,0.0765256100137624
"RTN2","RTN2",1,1
"PCDHB15","PCDHB15",1,1
"TRIM32","TRIM32",1,1
"NOTCH1","NOTCH1",1,1
"FAM20B","FAM20B",1,1
"DPH2","DPH2",1,1
"PGR","PGR",1,1
"GTF2A1","GTF2A1",1,1
"CCDC88C","CCDC88C",1,1
"ABCC3","ABCC3",1,1
"PKN1","PKN1",1,1
"ZC3H15","ZC3H15",1,1
"CNNM4","CNNM4",1,1
"TWF2","TWF2",1,1
"TET2","TET2",1,1
"CHD5","CHD5",1,1
"RPE65","RPE65",1,1
"FRMPD2","FRMPD2",1,1
"ACAT1","ACAT1",1,1
"GANAB","GANAB",1,1
"EFEMP2","EFEMP2",1,1
"PC","PC",1,1
"IFI30","IFI30",1,1
"ORC2","ORC2",1,1
"SDCBP2","SDCBP2",1,1
"ZNF280B","ZNF280B",1,1
"MICALL1","MICALL1",1,1
"TNIK","TNIK",0.025359981257349,0.204052633987568
"DCUN1D1","DCUN1D1",1,1
"FER","FER",0.00241531389884086,0.0780010401590084
"SLIT3","SLIT3",1,1
"PNPLA8","PNPLA8",1,1
"RPA3","RPA3",1,1
"TCEB1","TCEB1",0.031148211884073,0.230975437567975
"MAPKAP1","MAPKAP1",1,1
"TBC1D13","TBC1D13",1,1
"CNN3","CNN3",1,1
"ENOX1","ENOX1",1,1
"IGF2BP1","IGF2BP1",1,1
"MRPS7","MRPS7",1,1
"RNASEH2A","RNASEH2A",1,1
"GMFG","GMFG",1,1
"IFNAR1","IFNAR1",1,1
"LZTR1","LZTR1",1,1
"PRICKLE3","PRICKLE3",1,1
"MPP7","MPP7",0.0480350169596662,0.293993729719134
"FADS2","FADS2",1,1
"ABCD2","ABCD2",1,1
"CNP","CNP",1,1
"PDAP1","PDAP1",1,1
"SARS","SARS",0.0189649314677797,0.177279077868686
"HMGCS2","HMGCS2",1,1
"ARID3B","ARID3B",1,1
"CDK15","CDK15",1,1
"ZNF335","ZNF335",1,1
"BMP1","BMP1",1,1
"TBC1D2","TBC1D2",0.0221771571738404,0.187852832410582
"CRAT","CRAT",0.0409547387517381,0.266586124484676
"MOV10","MOV10",1,1
"KRT4","KRT4",1,1
"DIS3L","DIS3L",1,1
"GGA2","GGA2",1,1
"NPHS1","NPHS1",0.0200986577152803,0.181350896647767
"PSMC4","PSMC4",1,1
"MYCN","MYCN",1,1
"ATF2","ATF2",0.0172926467810749,0.165685949518241
"TSSC1","TSSC1",1,1
"IRX2","IRX2",1,1
"HIP1","HIP1",1,1
"KANK4","KANK4",1,1
"MYPN","MYPN",0.0146925800040999,0.152534678621217
"ATP7B","ATP7B",1,1
"MLH3","MLH3",1,1
"PELP1","PELP1",1,1
"SERPINB3","SERPINB3",1,1
"CTDP1","CTDP1",0.000768637080206957,0.042832107903828
"SP3","SP3",0.0171445305544181,0.165217697484616
"EVC2","EVC2",1,1
"PARK2","PARK2",1,1
"LDHC","LDHC",1,1
"ZWILCH","ZWILCH",0.0275525822049855,0.213092502790939
"TIGD2","TIGD2",1,1
"FAM219A","FAM219A",1,1
"ATP1A1","ATP1A1",1,1
"TMTC3","TMTC3",1,1
"SLC9A3R1","SLC9A3R1",1,1
"HNRNPUL1","HNRNPUL1",1,1
"PHLDB3","PHLDB3",1,1
"DPP4","DPP4",1,1
"CACNG2","CACNG2",1,1
"RAB3C","RAB3C",0.0135155947056617,0.148515421031355
"LMBRD1","LMBRD1",1,1
"G6PD","G6PD",1,1
"MFN2","MFN2",1,1
"PRPF3","PRPF3",0.030773998535134,0.228965425972578
"PTPN5","PTPN5",1,1
"TTL","TTL",1,1
"SATB2","SATB2",1,1
"MAP3K4","MAP3K4",0.00290145390530001,0.0809302554650841
"NAA10","NAA10",1,1
"NLK","NLK",1,1
"GUCY2D","GUCY2D",1,1
"ZNF3","ZNF3",0.0282312444898481,0.21534004244891
"ABRA","ABRA",1,1
"DAAM1","DAAM1",1,1
"SPACA3","SPACA3",1,1
"CLCA1","CLCA1",1,1
"XPO6","XPO6",1,1
"KRT9","KRT9",1,1
"RMI1","RMI1",1,1
"PPP1R15B","PPP1R15B",1,1
"OR14I1","OR14I1",0.0033716665700216,0.0866869858490738
"EYA3","EYA3",1,1
"OTUD1","OTUD1",1,1
"FAM21A","FAM21A",1,1
"SLC4A8","SLC4A8",1,1
"MRPS31","MRPS31",1,1
"FAM194B","FAM194B",1,1
"SLC15A1","SLC15A1",1,1
"COG4","COG4",1,1
"HJURP","HJURP",1,1
"BANK1","BANK1",1,1
"SQSTM1","SQSTM1",0.0178356239429665,0.168225807133448
"TRAF1","TRAF1",1,1
"ZNF75D","ZNF75D",1,1
"NMNAT2","NMNAT2",1,1
"HMGN2","HMGN2",1,1
"HOOK1","HOOK1",1,1
"EPC1","EPC1",0.00532020725327809,0.104814378992837
"SERPINA10","SERPINA10",1,1
"SETD3","SETD3",1,1
"CC2D1A","CC2D1A",1,1
"NPHP1","NPHP1",1,1
"EPC2","EPC2",1,1
"ADNP","ADNP",0.0199157528275758,0.180522050438242
"KLF3","KLF3",0.00243309017957784,0.0780010401590084
"RUFY3","RUFY3",1,1
"CDO1","CDO1",1,1
"LIFR","LIFR",1,1
"HCN1","HCN1",1,1
"SMO","SMO",1,1
"ZNF736","ZNF736",0.0130285040555456,0.147060020997884
"ZNF483","ZNF483",1,1
"DRP2","DRP2",1,1
"SCML1","SCML1",0.0013255648160942,0.0575882986127064
"MAPK8IP3","MAPK8IP3",1,1
"ZNF416","ZNF416",1,1
"STK25","STK25",0.00136838217782957,0.058410621295943
"CDCA7","CDCA7",1,1
"LPHN3","LPHN3",1,1
"AP3M1","AP3M1",1,1
"UBE4A","UBE4A",0.00112684114378833,0.0535973941177606
"DDB2","DDB2",1,1
"ARHGEF40","ARHGEF40",1,1
"ZFHX3","ZFHX3",1,1
"KIF1C","KIF1C",1,1
"SLC38A10","SLC38A10",1,1
"SP100","SP100",1,1
"CLCN2","CLCN2",1,1
"RAD18","RAD18",1,1
"SLC19A2","SLC19A2",1,1
"DDB1","DDB1",1,1
"A2M","A2M",1,1
"TRIM9","TRIM9",1,1
"CYP2B6","CYP2B6",1,1
"CEACAM6","CEACAM6",1,1
"LRIF1","LRIF1",1,1
"TGFB3","TGFB3",1,1
"RPL4","RPL4",1,1
"PIAS4","PIAS4",1,1
"EHD2","EHD2",1,1
"ENTPD6","ENTPD6",1,1
"SLC2A10","SLC2A10",1,1
"FANCD2","FANCD2",1,1
"RAP2B","RAP2B",1,1
"PLK2","PLK2",1,1
"CCHCR1","CCHCR1",1,1
"IP6K3","IP6K3",1,1
"HEMGN","HEMGN",1,1
"GLA","GLA",1,1
"VANGL2","VANGL2",1,1
"MARCKSL1","MARCKSL1",0.0205128206605057,0.183595259110629
"TRIM21","TRIM21",1,1
"B3GAT3","B3GAT3",1,1
"PIAS2","PIAS2",1,1
"FKBP8","FKBP8",1,1
"ZNF347","ZNF347",1,1
"DNMT3B","DNMT3B",0.0316406604440954,0.233069864930565
"COL18A1","COL18A1",1,1
"UPK3A","UPK3A",1,1
"PDGFRB","PDGFRB",1,1
"USP36","USP36",0.00242972090210588,0.0780010401590084
"ESRRG","ESRRG",0.0054888220436765,0.105952547251921
"GTF2H1","GTF2H1",1,1
"F2","F2",1,1
"TEX2","TEX2",1,1
"HGS","HGS",0.00745397228319991,0.113583527308531
"HGFAC","HGFAC",1,1
"SH3RF2","SH3RF2",1,1
"NOP16","NOP16",1,1
"VBP1","VBP1",1,1
"PQBP1","PQBP1",1,1
"NASP","NASP",1,1
"GRIK4","GRIK4",1,1
"FES","FES",1,1
"PANK4","PANK4",0.017404897769196,0.166282947266967
"USP54","USP54",1,1
"NEIL1","NEIL1",1,1
"FBXW12","FBXW12",0.00288964728769468,0.0809302554650841
"CCNB3","CCNB3",1,1
"DCUN1D2","DCUN1D2",1,1
"DCAF5","DCAF5",1,1
"UBE2E3","UBE2E3",1,1
"LSM11","LSM11",1,1
"RARS","RARS",0.0131275676071208,0.147344030620221
"TSC2","TSC2",0.00357136241863482,0.0878029043702796
"FLYWCH1","FLYWCH1",1,1
"GLI4","GLI4",1,1
"ZNF678","ZNF678",0.00936474988244285,0.12498008851904
"JMJD1C","JMJD1C",1,1
"MOK","MOK",1,1
"TC2N","TC2N",0.00586611076718719,0.107382398236499
"NCAN","NCAN",1,1
"PPAP2C","PPAP2C",1,1
"SIGLEC12","SIGLEC12",1,1
"RESP18","RESP18",1,1
"DNER","DNER",1,1
"USP40","USP40",1,1
"NOL12","NOL12",1,1
"PSMD6","PSMD6",1,1
"TTC29","TTC29",1,1
"SLC36A3","SLC36A3",1,1
"HSPA1B","HSPA1B",1,1
"TEAD3","TEAD3",1,1
"GSTK1","GSTK1",1,1
"ZNF679","ZNF679",1,1
"VCPIP1","VCPIP1",1,1
"AKNA","AKNA",1,1
"GYLTL1B","GYLTL1B",1,1
"HSPA12B","HSPA12B",1,1
"CD3E","CD3E",1,1
"PATE4","PATE4",1,1
"ARHGAP5","ARHGAP5",1,1
"MORC2","MORC2",1,1
"PALM2","PALM2",1,1
"MRPS15","MRPS15",1,1
"SWAP70","SWAP70",1,1
"SALL2","SALL2",1,1
"SEPT1","SEPT1",1,1
"ALOX12","ALOX12",1,1
"IFIH1","IFIH1",1,1
"KCTD10","KCTD10",1,1
"PDE9A","PDE9A",1,1
"ZDHHC3","ZDHHC3",1,1
"ANKH","ANKH",1,1
"ITGB3BP","ITGB3BP",0.0199525798351924,0.180522050438242
"EXOC7","EXOC7",1,1
"N4BP3","N4BP3",1,1
"IFRD1","IFRD1",1,1
"KLRC1","KLRC1",1,1
"SMAD9","SMAD9",1,1
"SERPIND1","SERPIND1",1,1
"HERC6","HERC6",1,1
"LHX5","LHX5",1,1
"GRAMD2","GRAMD2",1,1
"PLA2G3","PLA2G3",1,1
"KALRN","KALRN",1,1
"KCNN2","KCNN2",0.0012025183573373,0.0556081232049243
"HSPA9","HSPA9",0.000798626725393395,0.0439508707801208
"BRD9","BRD9",0.00352047498579541,0.0878029043702796
"CSAG1","CSAG1",1,1
"CNR2","CNR2",1,1
"CACNA1H","CACNA1H",1,1
"MTX2","MTX2",1,1
"SLC34A2","SLC34A2",1,1
"UGGT2","UGGT2",1,1
"VANGL1","VANGL1",0.0331566256774996,0.237321771710852
"TOMM34","TOMM34",0.0069153988759437,0.112316197841242
"SHPRH","SHPRH",1,1
"SURF6","SURF6",1,1
"SEH1L","SEH1L",1,1
"PHF20","PHF20",1,1
"ATXN7L2","ATXN7L2",1,1
"NSMCE4A","NSMCE4A",1,1
"PGM2L1","PGM2L1",1,1
"GPT2","GPT2",1,1
"TLE2","TLE2",1,1
"COPG1","COPG1",1,1
"MINA","MINA",1,1
"RBM41","RBM41",1,1
"PRKX","PRKX",1,1
"ATAD2","ATAD2",1,1
"SYVN1","SYVN1",1,1
"NAPA","NAPA",1,1
"KHSRP","KHSRP",1,1
"SATB1","SATB1",1,1
"BHMT","BHMT",1,1
"FBXO18","FBXO18",1,1
"MPL","MPL",1,1
"FLI1","FLI1",0.0321433856184941,0.234696057931526
"ANKRD13A","ANKRD13A",1,1
"RALBP1","RALBP1",1,1
"ZMYM6NB","ZMYM6NB",1,1
"CHAMP1","CHAMP1",0.00378884818052163,0.0886592768031163
"GLCE","GLCE",1,1
"TECR","TECR",0.00263619312204466,0.079073919234524
"ZNF223","ZNF223",1,1
"KIAA0922","KIAA0922",1,1
"SASS6","SASS6",1,1
"NUAK2","NUAK2",1,1
"AMPD3","AMPD3",1,1
"KDM2A","KDM2A",1,1
"HSPH1","HSPH1",0.00722903371366096,0.112405268323467
"UBAC2","UBAC2",1,1
"CSF2RB","CSF2RB",1,1
"MMAA","MMAA",1,1
"CNN2","CNN2",1,1
"HDAC11","HDAC11",1,1
"EPHA2","EPHA2",1,1
"PPFIA4","PPFIA4",1,1
"ZNF670","ZNF670",1,1
"PTPRR","PTPRR",1,1
"TRAF7","TRAF7",1,1
"PCYT2","PCYT2",1,1
"ZNF8","ZNF8",1,1
"MTA3","MTA3",1,1
"APBB2","APBB2",1,1
"KLHL13","KLHL13",1,1
"TMEM50A","TMEM50A",1,1
"CCDC28B","CCDC28B",1,1
"CPT2","CPT2",1,1
"EIF3A","EIF3A",0.00196354290379338,0.0709952532119238
"ABCC4","ABCC4",1,1
"RNF138","RNF138",1,1
"ETFB","ETFB",1,1
"CTLA4","CTLA4",1,1
"SPATA2","SPATA2",1,1
"B3GALNT1","B3GALNT1",1,1
"ECT2","ECT2",0.0456515164545437,0.28543985734348
"PAM","PAM",1,1
"CCT5","CCT5",1,1
"PHF15","PHF15",1,1
"NDUFA2","NDUFA2",1,1
"TRIP13","TRIP13",1,1
"MAK","MAK",1,1
"ABCB4","ABCB4",1,1
"DECR1","DECR1",1,1
"RPS6KA1","RPS6KA1",1,1
"MEIS2","MEIS2",1,1
"SPP2","SPP2",1,1
"IPCEF1","IPCEF1",1,1
"TRIM24","TRIM24",1,1
"OGT","OGT",1,1
"MLXIP","MLXIP",1,1
"DDX11","DDX11",0.0162026866899164,0.16031751956635
"CHD8","CHD8",1,1
"BBS7","BBS7",1,1
"MCM4","MCM4",0.00377941000531897,0.0886592768031163
"GPATCH2","GPATCH2",1,1
"FOXD3","FOXD3",1,1
"CYP2C9","CYP2C9",1,1
"TOX4","TOX4",0.00508796877646819,0.103149809314564
"STAT3","STAT3",0.030734264855243,0.228925581287543
"NOP56","NOP56",1,1
"HIST1H2AG","HIST1H2AG",0.0253052957772389,0.204052633987568
"KIF13B","KIF13B",1,1
"TMEM38B","TMEM38B",1,1
"TMEM48","TMEM48",1,1
"WDR62","WDR62",1,1
"SEC24B","SEC24B",1,1
"GABRB2","GABRB2",0.00220899900533564,0.0765256100137624
"ITGA2","ITGA2",1,1
"SEPHS1","SEPHS1",1,1
"GPI","GPI",0.00189081350394931,0.0688028804524504
"PRKRA","PRKRA",1,1
"TFAP2C","TFAP2C",1,1
"ZNF25","ZNF25",1,1
"SORBS1","SORBS1",1,1
"DENND5B","DENND5B",0.000106526055031712,0.0191718108231397
"ELF1","ELF1",1,1
"OVCA2","OVCA2",1,1
"AFG3L2","AFG3L2",1,1
"PRPS2","PRPS2",1,1
"TRIM5","TRIM5",1,1
"MUS81","MUS81",1,1
"BBS10","BBS10",1,1
"PPP2R5E","PPP2R5E",1,1
"MAPK1","MAPK1",1,1
"SLC12A2","SLC12A2",1,1
"SNTG1","SNTG1",1,1
"MAGEB2","MAGEB2",1,1
"APEX2","APEX2",1,1
"GSN","GSN",1,1
"HNRNPD","HNRNPD",1,1
"REXO2","REXO2",1,1
"SCAMP2","SCAMP2",1,1
"IQGAP1","IQGAP1",1,1
"ASXL1","ASXL1",1,1
"AVPR1B","AVPR1B",1,1
"ACAD9","ACAD9",1,1
"NT5DC1","NT5DC1",1,1
"CEPT1","CEPT1",1,1
"SFPQ","SFPQ",0.0368128285978169,0.250139413911084
"DPP10","DPP10",1,1
"PCDH7","PCDH7",1,1
"GNL2","GNL2",1,1
"KIAA1704","KIAA1704",0.0390579268974957,0.258052728990288
"LCTL","LCTL",1,1
"MRPL2","MRPL2",1,1
"PINK1","PINK1",1,1
